orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCountry
10248,VINET,5,04/07/2020,01/08/2020,16/07/2020,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,France
10249,TOMSP,6,05/07/2020,16/08/2020,10/07/2020,1,11.61,Toms Spezialitäten,Luisenstr. 48,Germany
10250,HANAR,4,08/07/2020,05/08/2020,12/07/2020,2,65.83,Hanari Carnes,Rua do Paço 67,Brazil
10251,VICTE,3,08/07/2020,05/08/2020,15/07/2020,1,41.34,Victuailles en stock,2 rue du Commerce,France
10252,SUPRD,4,09/07/2020,06/08/2020,11/07/2020,2,51.3,Suprêmes délices,Boulevard Tirou 255,Belgium
10253,HANAR,3,10/07/2020,24/07/2020,16/07/2020,2,58.17,Hanari Carnes,Rua do Paço 67,Brazil
10254,CHOPS,5,11/07/2020,08/08/2020,23/07/2020,2,22.98,Chop-suey Chinese,Hauptstr. 31,Switzerland
10255,RICSU,9,12/07/2020,09/08/2020,15/07/2020,3,148.33,Richter Supermarkt,Starenweg 5,Switzerland
10256,WELLI,3,15/07/2020,12/08/2020,17/07/2020,2,13.97,Wellington Importadora,Rua do Mercado 12,Brazil
10257,HILAA,4,16/07/2020,13/08/2020,22/07/2020,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,Venezuela
10258,ERNSH,1,17/07/2020,14/08/2020,23/07/2020,1,140.51,Ernst Handel,Kirchgasse 6,Austria
10259,CENTC,4,18/07/2020,15/08/2020,25/07/2020,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,Mexico
10260,OTTIK,4,19/07/2020,16/08/2020,29/07/2020,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Germany
10261,QUEDE,4,19/07/2020,16/08/2020,30/07/2020,2,3.05,Que Delícia,Rua da Panificadora 12,Brazil
10262,RATTC,8,22/07/2020,19/08/2020,25/07/2020,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10263,ERNSH,9,23/07/2020,20/08/2020,31/07/2020,3,146.06,Ernst Handel,Kirchgasse 6,Austria
10264,FOLKO,6,24/07/2020,21/08/2020,23/08/2020,3,3.67,Folk och fä HB,Åkergatan 24,Sweden
10265,BLONP,2,25/07/2020,22/08/2020,12/08/2020,1,55.28,Blondel père et fils,24 place Kléber,France
10266,WARTH,3,26/07/2020,06/09/2020,31/07/2020,3,25.73,Wartian Herkku,Torikatu 38,Finland
10267,FRANK,4,29/07/2020,26/08/2020,06/08/2020,1,208.58,Frankenversand,Berliner Platz 43,Germany
10268,GROSR,8,30/07/2020,27/08/2020,02/08/2020,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Venezuela
10269,WHITC,5,31/07/2020,14/08/2020,09/08/2020,1,4.56,White Clover Markets,1029 - 12th Ave. S.,USA
10270,WARTH,1,01/08/2020,29/08/2020,02/08/2020,1,136.54,Wartian Herkku,Torikatu 38,Finland
10271,SPLIR,6,01/08/2020,29/08/2020,30/08/2020,2,4.54,Split Rail Beer & Ale,P.O. Box 555,USA
10272,RATTC,6,02/08/2020,30/08/2020,06/08/2020,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10273,QUICK,3,05/08/2020,02/09/2020,12/08/2020,3,76.07,QUICK-Stop,Taucherstraße 10,Germany
10274,VINET,6,06/08/2020,03/09/2020,16/08/2020,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,France
10275,MAGAA,1,07/08/2020,04/09/2020,09/08/2020,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Italy
10276,TORTU,8,08/08/2020,22/08/2020,14/08/2020,3,13.84,Tortuga Restaurante,Avda. Azteca 123,Mexico
10277,MORGK,2,09/08/2020,06/09/2020,13/08/2020,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Germany
10278,BERGS,8,12/08/2020,09/09/2020,16/08/2020,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Sweden
10279,LEHMS,8,13/08/2020,10/09/2020,16/08/2020,2,25.83,Lehmanns Marktstand,Magazinweg 7,Germany
10280,BERGS,2,14/08/2020,11/09/2020,12/09/2020,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Sweden
10281,ROMEY,4,14/08/2020,28/08/2020,21/08/2020,1,2.94,Romero y tomillo,Gran Vía 1,Spain
10282,ROMEY,4,15/08/2020,12/09/2020,21/08/2020,1,12.69,Romero y tomillo,Gran Vía 1,Spain
10283,LILAS,3,16/08/2020,13/09/2020,23/08/2020,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Venezuela
10284,LEHMS,4,19/08/2020,16/09/2020,27/08/2020,1,76.56,Lehmanns Marktstand,Magazinweg 7,Germany
10285,QUICK,1,20/08/2020,17/09/2020,26/08/2020,2,76.83,QUICK-Stop,Taucherstraße 10,Germany
10286,QUICK,8,21/08/2020,18/09/2020,30/08/2020,3,229.24,QUICK-Stop,Taucherstraße 10,Germany
10287,RICAR,8,22/08/2020,19/09/2020,28/08/2020,3,12.76,Ricardo Adocicados,Av. Copacabana 267,Brazil
10288,REGGC,4,23/08/2020,20/09/2020,03/09/2020,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Italy
10289,BSBEV,7,26/08/2020,23/09/2020,28/08/2020,3,22.77,B's Beverages,Fauntleroy Circus,UK
10290,COMMI,8,27/08/2020,24/09/2020,03/09/2020,1,79.7,Comércio Mineiro,Av. dos Lusíadas 23,Brazil
10291,QUEDE,6,27/08/2020,24/09/2020,04/09/2020,2,6.4,Que Delícia,Rua da Panificadora 12,Brazil
10292,TRADH,1,28/08/2020,25/09/2020,02/09/2020,2,1.35,Tradiçao Hipermercados,Av. Inês de Castro 414,Brazil
10293,TORTU,1,29/08/2020,26/09/2020,11/09/2020,3,21.18,Tortuga Restaurante,Avda. Azteca 123,Mexico
10294,RATTC,4,30/08/2020,27/09/2020,05/09/2020,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10295,VINET,2,02/09/2020,30/09/2020,10/09/2020,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,France
10296,LILAS,6,03/09/2020,01/10/2020,11/09/2020,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Venezuela
10297,BLONP,5,04/09/2020,16/10/2020,10/09/2020,2,5.74,Blondel père et fils,24 place Kléber,France
10298,HUNGO,6,05/09/2020,03/10/2020,11/09/2020,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Ireland
10299,RICAR,4,06/09/2020,04/10/2020,13/09/2020,2,29.76,Ricardo Adocicados,Av. Copacabana 267,Brazil
10300,MAGAA,2,09/09/2020,07/10/2020,18/09/2020,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Italy
10301,WANDK,8,09/09/2020,07/10/2020,17/09/2020,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Germany
10302,SUPRD,4,10/09/2020,08/10/2020,09/10/2020,2,6.27,Suprêmes délices,Boulevard Tirou 255,Belgium
10303,GODOS,7,11/09/2020,09/10/2020,18/09/2020,2,107.83,Godos Cocina Típica,C/ Romero 33,Spain
10304,TORTU,1,12/09/2020,10/10/2020,17/09/2020,2,63.79,Tortuga Restaurante,Avda. Azteca 123,Mexico
10305,OLDWO,8,13/09/2020,11/10/2020,09/10/2020,3,257.62,Old World Delicatessen,2743 Bering St.,USA
10306,ROMEY,1,16/09/2020,14/10/2020,23/09/2020,3,7.56,Romero y tomillo,Gran Vía 1,Spain
10307,LONEP,2,17/09/2020,15/10/2020,25/09/2020,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,USA
10308,ANATR,7,18/09/2020,16/10/2020,24/09/2020,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,Mexico
10309,HUNGO,3,19/09/2020,17/10/2020,23/10/2020,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Ireland
10310,THEBI,8,20/09/2020,18/10/2020,27/09/2020,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,USA
10311,DUMON,1,20/09/2020,04/10/2020,26/09/2020,3,24.69,Du monde entier,67 rue des Cinquante Otages,France
10312,WANDK,2,23/09/2020,21/10/2020,03/10/2020,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Germany
10313,QUICK,2,24/09/2020,22/10/2020,04/10/2020,2,1.96,QUICK-Stop,Taucherstraße 10,Germany
10314,RATTC,1,25/09/2020,23/10/2020,04/10/2020,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10315,ISLAT,4,26/09/2020,24/10/2020,03/10/2020,2,41.76,Island Trading,Garden House Crowther Way,UK
10316,RATTC,1,27/09/2020,25/10/2020,08/10/2020,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10317,LONEP,6,30/09/2020,28/10/2020,10/10/2020,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,USA
10318,ISLAT,8,01/10/2020,29/10/2020,04/10/2020,2,4.73,Island Trading,Garden House Crowther Way,UK
10319,TORTU,7,02/10/2020,30/10/2020,11/10/2020,3,64.5,Tortuga Restaurante,Avda. Azteca 123,Mexico
10320,WARTH,5,03/10/2020,17/10/2020,18/10/2020,3,34.57,Wartian Herkku,Torikatu 38,Finland
10321,ISLAT,3,03/10/2020,31/10/2020,11/10/2020,2,3.43,Island Trading,Garden House Crowther Way,UK
10322,PERIC,7,04/10/2020,01/11/2020,23/10/2020,3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,Mexico
10323,KOENE,4,07/10/2020,04/11/2020,14/10/2020,1,4.88,Königlich Essen,Maubelstr. 90,Germany
10324,SAVEA,9,08/10/2020,05/11/2020,10/10/2020,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,USA
10325,KOENE,1,09/10/2020,23/10/2020,14/10/2020,3,64.86,Königlich Essen,Maubelstr. 90,Germany
10326,BOLID,4,10/10/2020,07/11/2020,14/10/2020,2,77.92,Bólido Comidas preparadas,C/ Araquil 67,Spain
10327,FOLKO,2,11/10/2020,08/11/2020,14/10/2020,1,63.36,Folk och fä HB,Åkergatan 24,Sweden
10328,FURIB,4,14/10/2020,11/11/2020,17/10/2020,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Portugal
10329,SPLIR,4,15/10/2020,26/11/2020,23/10/2020,2,191.67,Split Rail Beer & Ale,P.O. Box 555,USA
10330,LILAS,3,16/10/2020,13/11/2020,28/10/2020,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Venezuela
10331,BONAP,9,16/10/2020,27/11/2020,21/10/2020,1,10.19,Bon app',12 rue des Bouchers,France
10332,MEREP,3,17/10/2020,28/11/2020,21/10/2020,2,52.84,Mère Paillarde,43 rue St. Laurent,Canada
10333,WARTH,5,18/10/2020,15/11/2020,25/10/2020,3,0.59,Wartian Herkku,Torikatu 38,Finland
10334,VICTE,8,21/10/2020,18/11/2020,28/10/2020,2,8.56,Victuailles en stock,2 rue du Commerce,France
10335,HUNGO,7,22/10/2020,19/11/2020,24/10/2020,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Ireland
10336,PRINI,7,23/10/2020,20/11/2020,25/10/2020,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Portugal
10337,FRANK,4,24/10/2020,21/11/2020,29/10/2020,3,108.26,Frankenversand,Berliner Platz 43,Germany
10338,OLDWO,4,25/10/2020,22/11/2020,29/10/2020,3,84.21,Old World Delicatessen,2743 Bering St.,USA
10339,MEREP,2,28/10/2020,25/11/2020,04/11/2020,2,15.66,Mère Paillarde,43 rue St. Laurent,Canada
10340,BONAP,1,29/10/2020,26/11/2020,08/11/2020,3,166.31,Bon app',12 rue des Bouchers,France
10341,SIMOB,7,29/10/2020,26/11/2020,05/11/2020,3,26.78,Simons bistro,Vinbæltet 34,Denmark
10342,FRANK,4,30/10/2020,13/11/2020,04/11/2020,2,54.83,Frankenversand,Berliner Platz 43,Germany
10343,LEHMS,4,31/10/2020,28/11/2020,06/11/2020,1,110.37,Lehmanns Marktstand,Magazinweg 7,Germany
10344,WHITC,4,01/11/2020,29/11/2020,05/11/2020,2,23.29,White Clover Markets,1029 - 12th Ave. S.,USA
10345,QUICK,2,04/11/2020,02/12/2020,11/11/2020,2,249.06,QUICK-Stop,Taucherstraße 10,Germany
10346,RATTC,3,05/11/2020,17/12/2020,08/11/2020,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10347,FAMIA,4,06/11/2020,04/12/2020,08/11/2020,3,3.1,Familia Arquibaldo,Rua Orós 92,Brazil
10348,WANDK,4,07/11/2020,05/12/2020,15/11/2020,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Germany
10349,SPLIR,7,08/11/2020,06/12/2020,15/11/2020,1,8.63,Split Rail Beer & Ale,P.O. Box 555,USA
10350,LAMAI,6,11/11/2020,09/12/2020,03/12/2020,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,France
10351,ERNSH,1,11/11/2020,09/12/2020,20/11/2020,1,162.33,Ernst Handel,Kirchgasse 6,Austria
10352,FURIB,3,12/11/2020,26/11/2020,18/11/2020,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Portugal
10353,PICCO,7,13/11/2020,11/12/2020,25/11/2020,3,360.63,Piccolo und mehr,Geislweg 14,Austria
10354,PERIC,8,14/11/2020,12/12/2020,20/11/2020,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,Mexico
10355,AROUT,6,15/11/2020,13/12/2020,20/11/2020,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,UK
10356,WANDK,6,18/11/2020,16/12/2020,27/11/2020,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Germany
10357,LILAS,1,19/11/2020,17/12/2020,02/12/2020,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Venezuela
10358,LAMAI,5,20/11/2020,18/12/2020,27/11/2020,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,France
10359,SEVES,5,21/11/2020,19/12/2020,26/11/2020,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,UK
10360,BLONP,4,22/11/2020,20/12/2020,02/12/2020,3,131.7,Blondel père et fils,24 place Kléber,France
10361,QUICK,1,22/11/2020,20/12/2020,03/12/2020,2,183.17,QUICK-Stop,Taucherstraße 10,Germany
10362,BONAP,3,25/11/2020,23/12/2020,28/11/2020,1,96.04,Bon app',12 rue des Bouchers,France
10363,DRACD,4,26/11/2020,24/12/2020,04/12/2020,3,30.54,Drachenblut Delikatessen,Walserweg 21,Germany
10364,EASTC,1,26/11/2020,07/01/2021,04/12/2020,1,71.97,Eastern Connection,35 King George,UK
10365,ANTON,3,27/11/2020,25/12/2020,02/12/2020,2,22,Antonio Moreno Taquería,Mataderos  2312,Mexico
10366,GALED,8,28/11/2020,09/01/2021,30/12/2020,2,10.14,Galería del gastronómo,Rambla de Cataluña 23,Spain
10367,VAFFE,7,28/11/2020,26/12/2020,02/12/2020,3,13.55,Vaffeljernet,Smagsloget 45,Denmark
10368,ERNSH,2,29/11/2020,27/12/2020,02/12/2020,2,101.95,Ernst Handel,Kirchgasse 6,Austria
10369,SPLIR,8,02/12/2020,30/12/2020,09/12/2020,2,195.68,Split Rail Beer & Ale,P.O. Box 555,USA
10370,CHOPS,6,03/12/2020,31/12/2020,27/12/2020,2,1.17,Chop-suey Chinese,Hauptstr. 31,Switzerland
10371,LAMAI,1,03/12/2020,31/12/2020,24/12/2020,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,France
10372,QUEEN,5,04/12/2020,01/01/2021,09/12/2020,2,890.78,Queen Cozinha,Alameda dos Canàrios 891,Brazil
10373,HUNGO,4,05/12/2020,02/01/2021,11/12/2020,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Ireland
10374,WOLZA,1,05/12/2020,02/01/2021,09/12/2020,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Poland
10375,HUNGC,3,06/12/2020,03/01/2021,09/12/2020,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,USA
10376,MEREP,1,09/12/2020,06/01/2021,13/12/2020,2,20.39,Mère Paillarde,43 rue St. Laurent,Canada
10377,SEVES,1,09/12/2020,06/01/2021,13/12/2020,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,UK
10378,FOLKO,5,10/12/2020,07/01/2021,19/12/2020,3,5.44,Folk och fä HB,Åkergatan 24,Sweden
10379,QUEDE,2,11/12/2020,08/01/2021,13/12/2020,1,45.03,Que Delícia,Rua da Panificadora 12,Brazil
10380,HUNGO,8,12/12/2020,09/01/2021,16/01/2021,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Ireland
10381,LILAS,3,12/12/2020,09/01/2021,13/12/2020,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Venezuela
10382,ERNSH,4,13/12/2020,10/01/2021,16/12/2020,1,94.77,Ernst Handel,Kirchgasse 6,Austria
10383,AROUT,8,16/12/2020,13/01/2021,18/12/2020,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,UK
10384,BERGS,3,16/12/2020,13/01/2021,20/12/2020,3,168.64,Berglunds snabbköp,Berguvsvägen  8,Sweden
10385,SPLIR,1,17/12/2020,14/01/2021,23/12/2020,2,30.96,Split Rail Beer & Ale,P.O. Box 555,USA
10386,FAMIA,9,18/12/2020,01/01/2021,25/12/2020,3,13.99,Familia Arquibaldo,Rua Orós 92,Brazil
10387,SANTG,1,18/12/2020,15/01/2021,20/12/2020,2,93.63,Santé Gourmet,Erling Skakkes gate 78,Norway
10388,SEVES,2,19/12/2020,16/01/2021,20/12/2020,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,UK
10389,BOTTM,4,20/12/2020,17/01/2021,24/12/2020,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Canada
10390,ERNSH,6,23/12/2020,20/01/2021,26/12/2020,1,126.38,Ernst Handel,Kirchgasse 6,Austria
10391,DRACD,3,23/12/2020,20/01/2021,31/12/2020,3,5.45,Drachenblut Delikatessen,Walserweg 21,Germany
10392,PICCO,2,24/12/2020,21/01/2021,01/01/2021,3,122.46,Piccolo und mehr,Geislweg 14,Austria
10393,SAVEA,1,25/12/2020,22/01/2021,03/01/2021,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,USA
10394,HUNGC,1,25/12/2020,22/01/2021,03/01/2021,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,USA
10395,HILAA,6,26/12/2020,23/01/2021,03/01/2021,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,Venezuela
10396,FRANK,1,27/12/2020,10/01/2021,06/01/2021,3,135.35,Frankenversand,Berliner Platz 43,Germany
10397,PRINI,5,27/12/2020,24/01/2021,02/01/2021,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Portugal
10398,SAVEA,2,30/12/2020,27/01/2021,09/01/2021,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,USA
10399,VAFFE,8,31/12/2020,14/01/2021,08/01/2021,3,27.36,Vaffeljernet,Smagsloget 45,Denmark
10400,EASTC,1,01/01/2021,29/01/2021,16/01/2021,3,83.93,Eastern Connection,35 King George,UK
10401,RATTC,1,01/01/2021,29/01/2021,10/01/2021,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10402,ERNSH,8,02/01/2021,13/02/2021,10/01/2021,2,67.88,Ernst Handel,Kirchgasse 6,Austria
10403,ERNSH,4,03/01/2021,31/01/2021,09/01/2021,3,73.79,Ernst Handel,Kirchgasse 6,Austria
10404,MAGAA,2,03/01/2021,31/01/2021,08/01/2021,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Italy
10405,LINOD,1,06/01/2021,03/02/2021,22/01/2021,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,Venezuela
10406,QUEEN,7,07/01/2021,18/02/2021,13/01/2021,1,108.04,Queen Cozinha,Alameda dos Canàrios 891,Brazil
10407,OTTIK,2,07/01/2021,04/02/2021,30/01/2021,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Germany
10408,FOLIG,8,08/01/2021,05/02/2021,14/01/2021,1,11.26,Folies gourmandes,184 chaussée de Tournai,France
10409,OCEAN,3,09/01/2021,06/02/2021,14/01/2021,1,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Argentina
10410,BOTTM,3,10/01/2021,07/02/2021,15/01/2021,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Canada
10411,BOTTM,9,10/01/2021,07/02/2021,21/01/2021,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Canada
10412,WARTH,8,13/01/2021,10/02/2021,15/01/2021,2,3.77,Wartian Herkku,Torikatu 38,Finland
10413,LAMAI,3,14/01/2021,11/02/2021,16/01/2021,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,France
10414,FAMIA,2,14/01/2021,11/02/2021,17/01/2021,3,21.48,Familia Arquibaldo,Rua Orós 92,Brazil
10415,HUNGC,3,15/01/2021,12/02/2021,24/01/2021,1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,USA
10416,WARTH,8,16/01/2021,13/02/2021,27/01/2021,3,22.72,Wartian Herkku,Torikatu 38,Finland
10417,SIMOB,4,16/01/2021,13/02/2021,28/01/2021,3,70.29,Simons bistro,Vinbæltet 34,Denmark
10418,QUICK,4,17/01/2021,14/02/2021,24/01/2021,1,17.55,QUICK-Stop,Taucherstraße 10,Germany
10419,RICSU,4,20/01/2021,17/02/2021,30/01/2021,2,137.35,Richter Supermarkt,Starenweg 5,Switzerland
10420,WELLI,3,21/01/2021,18/02/2021,27/01/2021,1,44.12,Wellington Importadora,Rua do Mercado 12,Brazil
10421,QUEDE,8,21/01/2021,04/03/2021,27/01/2021,1,99.23,Que Delícia,Rua da Panificadora 12,Brazil
10422,FRANS,2,22/01/2021,19/02/2021,31/01/2021,1,3.02,Franchi S.p.A.,Via Monte Bianco 34,Italy
10423,GOURL,6,23/01/2021,06/02/2021,24/02/2021,3,24.5,Gourmet Lanchonetes,Av. Brasil 442,Brazil
10424,MEREP,7,23/01/2021,20/02/2021,27/01/2021,2,370.61,Mère Paillarde,43 rue St. Laurent,Canada
10425,LAMAI,6,24/01/2021,21/02/2021,14/02/2021,2,7.93,La maison d'Asie,1 rue Alsace-Lorraine,France
10426,GALED,4,27/01/2021,24/02/2021,06/02/2021,1,18.69,Galería del gastronómo,Rambla de Cataluña 23,Spain
10427,PICCO,4,27/01/2021,24/02/2021,03/03/2021,2,31.29,Piccolo und mehr,Geislweg 14,Austria
10428,REGGC,7,28/01/2021,25/02/2021,04/02/2021,1,11.09,Reggiani Caseifici,Strada Provinciale 124,Italy
10429,HUNGO,3,29/01/2021,12/03/2021,07/02/2021,2,56.63,Hungry Owl All-Night Grocers,8 Johnstown Road,Ireland
10430,ERNSH,4,30/01/2021,13/02/2021,03/02/2021,1,458.78,Ernst Handel,Kirchgasse 6,Austria
10431,BOTTM,4,30/01/2021,13/02/2021,07/02/2021,2,44.17,Bottom-Dollar Markets,23 Tsawassen Blvd.,Canada
10432,SPLIR,3,31/01/2021,14/02/2021,07/02/2021,2,4.34,Split Rail Beer & Ale,P.O. Box 555,USA
10433,PRINI,3,03/02/2021,03/03/2021,04/03/2021,3,73.83,Princesa Isabel Vinhos,Estrada da saúde n. 58,Portugal
10434,FOLKO,3,03/02/2021,03/03/2021,13/02/2021,2,17.92,Folk och fä HB,Åkergatan 24,Sweden
10435,CONSH,8,04/02/2021,18/03/2021,07/02/2021,2,9.21,Consolidated Holdings,Berkeley Gardens 12  Brewery,UK
10436,BLONP,3,05/02/2021,05/03/2021,11/02/2021,2,156.66,Blondel père et fils,24 place Kléber,France
10437,WARTH,8,05/02/2021,05/03/2021,12/02/2021,1,19.97,Wartian Herkku,Torikatu 38,Finland
10438,TOMSP,3,06/02/2021,06/03/2021,14/02/2021,2,8.24,Toms Spezialitäten,Luisenstr. 48,Germany
10439,MEREP,6,07/02/2021,07/03/2021,10/02/2021,3,4.07,Mère Paillarde,43 rue St. Laurent,Canada
10440,SAVEA,4,10/02/2021,10/03/2021,28/02/2021,2,86.53,Save-a-lot Markets,187 Suffolk Ln.,USA
10441,OLDWO,3,10/02/2021,24/03/2021,14/03/2021,2,73.02,Old World Delicatessen,2743 Bering St.,USA
10442,ERNSH,3,11/02/2021,11/03/2021,18/02/2021,2,47.94,Ernst Handel,Kirchgasse 6,Austria
10443,REGGC,8,12/02/2021,12/03/2021,14/02/2021,1,13.95,Reggiani Caseifici,Strada Provinciale 124,Italy
10444,BERGS,3,12/02/2021,12/03/2021,21/02/2021,3,3.5,Berglunds snabbköp,Berguvsvägen  8,Sweden
10445,BERGS,3,13/02/2021,13/03/2021,20/02/2021,1,9.3,Berglunds snabbköp,Berguvsvägen  8,Sweden
10446,TOMSP,6,14/02/2021,14/03/2021,19/02/2021,1,14.68,Toms Spezialitäten,Luisenstr. 48,Germany
10447,RICAR,4,14/02/2021,14/03/2021,07/03/2021,2,68.66,Ricardo Adocicados,Av. Copacabana 267,Brazil
10448,RANCH,4,17/02/2021,17/03/2021,24/02/2021,2,38.82,Rancho grande,Av. del Libertador 900,Argentina
10449,BLONP,3,18/02/2021,18/03/2021,27/02/2021,2,53.3,Blondel père et fils,24 place Kléber,France
10450,VICTE,8,19/02/2021,19/03/2021,11/03/2021,2,7.23,Victuailles en stock,2 rue du Commerce,France
10451,QUICK,4,19/02/2021,05/03/2021,12/03/2021,3,189.09,QUICK-Stop,Taucherstraße 10,Germany
10452,SAVEA,8,20/02/2021,20/03/2021,26/02/2021,1,140.26,Save-a-lot Markets,187 Suffolk Ln.,USA
10453,AROUT,1,21/02/2021,21/03/2021,26/02/2021,2,25.36,Around the Horn,Brook Farm Stratford St. Mary,UK
